45000,7235000,1601000
145000,27831000,1632000
245000,54138000,1625000
345000,77087000,1669000
445000,101750000,1633000
545000,126158000,1649000
645000,152402000,1681000
745000,175547000,1672000
845000,248597000,1616000
945000,247407000,1626000
1045000,257176000,1613000
1145000,282607000,1653000
1245000,303452000,1680000
1345000,351060000,1690000
1445000,354541000,1623000
1545000,402920000,2128000
1645000,427124000,1638000
1745000,486583000,3062000
1845000,510588000,1714000
1945000,515146000,1668000
