30000,3502949000,3397000
120000,3097551000,2006000
210000,3263343000,1128000
300000,4475073000,1092000
390000,3009108000,1079000
480000,3056136000,1120000
570000,3039754000,1098000
660000,3108956000,1099000
750000,3083632000,1107000
840000,3134285000,1124000
930000,3029714000,1077000
1020000,3032137000,1146000
1110000,3065330000,1686000
1200000,3169397000,1138000
1290000,3221608000,1511000
1380000,3159842000,1093000
1470000,3166789000,1143000
1560000,3037117000,1152000
1650000,3090681000,1690000
1740000,3104616000,1099000
