30000,4608000,1066000
120000,25586000,1150000
210000,44485000,1388000
300000,83032000,1065000
390000,85292000,1104000
480000,105333000,1087000
570000,134516000,1086000
660000,157489000,1130000
750000,203449000,1089000
840000,214476000,1133000
930000,235236000,1150000
1020000,261182000,3262000
1110000,394025000,1262000
1200000,305207000,1095000
1290000,472345000,1190000
1380000,353752000,1106000
1470000,395333000,1719000
1560000,406769000,1133000
1650000,502702000,1724000
1740000,463374000,1719000
