35000,5608699000,709000
135000,5053479000,847000
235000,6215770000,772000
335000,5412691000,4207000
435000,5320738000,641000
535000,5128168000,579000
635000,4642622000,792000
735000,5242434000,1212000
835000,4986079000,748000
935000,5596206000,574000
1035000,5419686000,733000
1135000,5967931000,1414000
1235000,5073255000,901000
1335000,5356622000,664000
1435000,5223703000,654000
1535000,4601389000,596000
1635000,6760357000,1243000
1735000,4660021000,560000
1835000,5064231000,572000
1935000,5587478000,691000
