35000,7460000,1259000
135000,29098000,1259000
235000,52983000,1266000
335000,80647000,1281000
435000,104185000,1275000
535000,133310000,1291000
635000,159692000,1267000
735000,185462000,1585000
835000,225655000,1328000
935000,233105000,1290000
1035000,292650000,2045000
1135000,317010000,1330000
1235000,439758000,1360000
1335000,415521000,1349000
1435000,413252000,1345000
1535000,478997000,1291000
1635000,455274000,1400000
1735000,458605000,1269000
1835000,485559000,1291000
1935000,529141000,1398000
