15000,840578000,471148000
37500,760163000,477542000
60000,754682000,519613000
82500,772557000,493295000
105000,793199000,484019000
127500,770291000,484021000
150000,772759000,478255000
172500,776394000,488502000
195000,813275000,538257000
217500,755268000,502535000
240000,780933000,528982000
262500,809176000,513117000
285000,838484000,572497000
307500,847347000,512301000
330000,797941000,524547000
352500,879171000,589210000
375000,882327000,548142000
397500,800814000,554481000
420000,819917000,520445000
442500,869890000,550255000
