40000,7311000,1495000
140000,26343000,1428000
240000,56597000,1442000
340000,82415000,1437000
440000,106876000,1447000
540000,129475000,1452000
640000,164961000,1870000
740000,277783000,1512000
840000,212025000,1735000
940000,235020000,1445000
1040000,261405000,1458000
1140000,288335000,1958000
1240000,344924000,1533000
1340000,413187000,1479000
1440000,414418000,1456000
1540000,406712000,1472000
1640000,457355000,1569000
1740000,457489000,1444000
1840000,495967000,1441000
1940000,516746000,2017000
