25000,5263000,3379000
87500,15064000,12546000
150000,42888000,25367000
212500,55794000,44058000
275000,73372000,61702000
337500,91968000,83055000
400000,117945000,97194000
462500,137584000,116199000
525000,158330000,135883000
587500,180680000,154746000
650000,198129000,171506000
712500,222671000,231029000
775000,268614000,249428000
837500,270997000,231052000
900000,293650000,288674000
962500,312647000,265252000
1025000,336976000,281165000
1087500,403795000,306179000
1150000,435170000,326032000
1212500,406768000,339984000
