45000,9146000,6159000
145000,33080000,26087000
245000,67086000,70487000
345000,95990000,82650000
445000,132070000,111184000
545000,164138000,141139000
645000,192538000,173140000
745000,277743000,244044000
845000,304739000,234882000
945000,305143000,260875000
1045000,338209000,290766000
1145000,366845000,320419000
1245000,438245000,372811000
1345000,443202000,393457000
1445000,503572000,433345000
1545000,523701000,440908000
1645000,558687000,471094000
1745000,595588000,502561000
1845000,638158000,556190000
1945000,673029000,711186000
