25000,2250783000,422000
87500,2271160000,404000
150000,2181378000,443000
212500,2232210000,891000
275000,2259170000,433000
337500,2229616000,897000
400000,2260316000,408000
462500,2305440000,429000
525000,2190633000,435000
587500,2195395000,878000
650000,2222825000,871000
712500,2336563000,419000
775000,2179314000,413000
837500,2182153000,425000
900000,2332413000,420000
962500,2223290000,424000
1025000,2225890000,419000
1087500,2249189000,405000
1150000,2262817000,422000
1212500,2390800000,439000
