25000,4967000,3334000
87500,13265000,12322000
150000,34741000,38906000
212500,71630000,61398000
275000,87609000,75580000
337500,105240000,90686000
400000,111865000,118582000
462500,144629000,146176000
525000,155510000,137687000
587500,170419000,152626000
650000,199788000,174565000
712500,230273000,201868000
775000,229298000,211284000
837500,260704000,229426000
900000,289922000,246164000
962500,312949000,271501000
1025000,327568000,281746000
1087500,350766000,366894000
1150000,391997000,339981000
1212500,407371000,397162000
