50000,9281000,7876000
150000,39241000,29750000
250000,76328000,58256000
350000,115159000,88970000
450000,135254000,117662000
550000,169885000,144879000
650000,196660000,172967000
750000,230632000,206174000
850000,266930000,232560000
950000,344152000,263438000
1050000,397941000,292192000
1150000,372459000,324602000
1250000,406335000,354161000
1350000,440058000,386718000
1450000,473195000,413486000
1550000,518408000,445736000
1650000,552030000,475269000
1750000,717517000,550916000
1850000,725817000,540420000
1950000,674848000,570828000
