20000,1569526000,930368000
60000,1506190000,902984000
100000,1615838000,986113000
140000,1566708000,920561000
180000,1611953000,910367000
220000,1623204000,901287000
260000,1643883000,972137000
300000,1644769000,981911000
340000,1515119000,875803000
380000,1657648000,997102000
420000,1623430000,985017000
460000,1578274000,892643000
500000,1543264000,912336000
540000,1613371000,958626000
580000,1627911000,974933000
620000,1659774000,962240000
660000,1612244000,959977000
700000,1639902000,961245000
740000,1663799000,961976000
780000,1692395000,1029312000
