30000,5616000,1061000
120000,25045000,1084000
210000,46196000,1106000
300000,71491000,1161000
390000,107976000,1116000
480000,132153000,1104000
570000,138904000,1105000
660000,163377000,1085000
750000,184397000,1105000
840000,206600000,1109000
930000,265999000,4213000
1020000,309833000,1101000
1110000,327548000,1094000
1200000,312261000,1081000
1290000,337117000,1086000
1380000,356487000,1084000
1470000,380531000,1136000
1560000,434161000,1115000
1650000,548341000,6259000
1740000,607075000,1121000
