30000,4566000,3777000
120000,33689000,29149000
210000,51172000,63262000
300000,81877000,69254000
390000,128415000,101171000
480000,136845000,140509000
570000,171821000,148352000
660000,199955000,174804000
750000,223215000,200101000
840000,290260000,230859000
930000,323374000,255912000
1020000,318634000,283586000
1110000,374801000,309547000
1200000,470898000,359174000
1290000,530195000,376738000
1380000,457695000,390334000
1470000,484858000,425084000
1560000,519446000,445849000
1650000,547147000,549780000
1740000,569818000,503712000
