45000,8074000,7031000
145000,31261000,27795000
245000,64123000,55746000
345000,92361000,82147000
445000,129502000,113219000
545000,157313000,142530000
645000,214330000,210642000
745000,226718000,201378000
845000,267639000,230158000
945000,299376000,263798000
1045000,323536000,291518000
1145000,364169000,323597000
1245000,537412000,386226000
1345000,425381000,380831000
1445000,473926000,412051000
1545000,510222000,443691000
1645000,628053000,477920000
1745000,601920000,564200000
1845000,630062000,533049000
1945000,657725000,571970000
