40000,7432000,1511000
140000,28926000,1440000
240000,55150000,1440000
340000,78580000,1475000
440000,109030000,1496000
540000,129358000,1454000
640000,165747000,1517000
740000,185269000,2481000
840000,244971000,1450000
940000,268856000,2040000
1040000,276461000,2335000
1140000,336176000,1516000
1240000,333782000,1501000
1340000,349844000,1454000
1440000,514365000,1446000
1540000,407643000,1441000
1640000,565236000,1501000
1740000,460632000,1435000
1840000,485800000,1451000
1940000,510870000,1473000
